artist,track,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,energyLiveness
Khalid,Eastside (with Halsey & Khalid),FRIENDS KEEP SECRETS,0.632,0.686,-7.665,0.243,0.549,0.0,0.2,0.329,89.949,2.8461666666666665,3.43
Khalid,Better,Suncity,0.596,0.552,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,3.822,5.307692307692308
Khalid,Location,American Teen,0.736,0.449,-11.462,0.425,0.33,0.000162,0.0898,0.326,80.126,3.6513333333333335,5.0
Khalid,8TEEN,American Teen,0.83,0.585,-5.802,0.0366,0.225,0.00209,0.0576,0.642,105.03,3.81,10.15625
Khalid,Beautiful People (feat. Khalid),No.6 Collaborations Project,0.64,0.647,-8.114,0.186,0.124,0.0,0.0801,0.546,92.979,3.2977833333333333,8.077403245942572
Khalid,Love Lies (with Normani),Love Lies (with Normani),0.708,0.648,-5.626,0.0449,0.0956,0.0,0.134,0.338,143.955,3.3617833333333333,4.835820895522388
Shakira,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",0.778,0.632,-5.6,0.0493,0.274,0.0,0.0915,0.498,122.104,3.63815,6.907103825136613
Shakira,Monotonía,Monotonía,0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,2.64675,3.2938388625592414
Shakira,Te Felicito,Te Felicito,0.695,0.636,-4.654,0.317,0.234,0.0,0.081,0.575,174.14,2.8705833333333333,7.851851851851852
Shakira,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,0.758,100.024,3.634883333333333,2.034567901234568
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Listen Up! The Official 2010 FIFA World Cup Album,0.758,0.871,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,3.3771166666666668,13.137254901960784
Shakira,DON'T YOU WORRY,ELEVATION,0.831,0.868,-5.282,0.0325,0.176,0.0,0.184,0.483,131.971,3.2406333333333333,4.717391304347826
Shakira,Dia de Enero,"Fijación Oral, Vol. 1",0.687,0.361,-11.589,0.0792,0.35,1.11e-05,0.11,0.526,165.747,2.88555,3.2818181818181817
Shakira,Chantaje (feat. Maluma),El Dorado,0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,3.264,4.861635220125787
Shakira,Inevitable,Donde Estan Los Ladrones,0.595,0.461,-7.786,0.0641,0.269,0.000149,0.123,0.338,91.976,3.21445,3.747967479674797
Shakira,Antologia,Pies Descalzos,0.839,0.403,-11.059,0.0308,0.5,1.81e-06,0.0786,0.575,97.967,4.237333333333333,5.127226463104326
Machine Gun Kelly,my ex's best friend (with blackbear),Tickets To My Downfall,0.731,0.675,-5.134,0.0434,0.00473,0.0,0.141,0.298,124.939,2.32435,4.787234042553192
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,0.628,0.744,-4.718,0.0379,0.0257,0.0,0.313,0.277,119.921,2.8232833333333334,2.376996805111821
Machine Gun Kelly,maybe (feat. Bring Me The Horizon),mainstream sellout,0.601,0.92,-4.802,0.0505,0.000735,0.0,0.0998,0.537,88.014,2.835566666666667,9.218436873747496
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]",0.653,0.718,-5.232,0.213,0.00413,0.0,0.0537,0.216,82.034,3.3800833333333333,13.370577281191808
